Numero du dept : 23
1 Aubrac et Carladez 10389 Polygon
2 Aveyron et Tarn 10856 Polygon
3 Causse-Comtal 11444 Polygon
4 Causses-Rougiers 11548 Polygon
5 Ceor-Ségala 13809 Polygon
6 Enne et Alzou 13414 Polygon
7 Lot et Dourdou 14042 Polygon
8 Lot et Montbazinois 11585 Polygon
9 Lot et Palanges 10207 Polygon
10 Lot et Truyère 10045 Polygon
11 Millau-1 14184 Polygon
12 Millau-2 14463 Polygon
13 Monts du Réquistanais 10630 Polygon
14 Nord-Lévezou 12989 Polygon
15 Raspes et Lévezou 10932 Polygon
16 Rodez-1 11434 Polygon
17 Rodez-2 12137 Polygon
18 Rodez-Onet 13347 Polygon
19 Saint-Affrique 12797 Polygon
20 Tarn et Causses 10262 Polygon
21 Vallon 11972 Polygon
22 Villefranche-de-Rouergue 13168 Polygon
23 Villeneuvois et Villefranchois 10575 Polygon

2.564266 44.77817 2.573378 44.784786 1 0
2.573378 44.784786 2.578068 44.785877 1 0
2.578068 44.785877 2.582781 44.783727 1 0
2.582781 44.783727 2.586476 44.783987 1 0
2.586476 44.783987 2.600574 44.793598 1 0
2.600574 44.793598 2.59973 44.796636 1 0
2.59973 44.796636 2.601118 44.800609 1 0
2.601118 44.800609 2.600322 44.806377 1 0
2.600322 44.806377 2.601415 44.813078 1 0
2.601415 44.813078 2.599024 44.814341 1 0
2.599024 44.814341 2.598856 44.818305 1 0
2.598856 44.818305 2.596702 44.820217 1 0
2.596702 44.820217 2.606097 44.823542 1 0
2.606097 44.823542 2.610117 44.827228 1 0
2.610117 44.827228 2.611197 44.832589 1 0
2.611197 44.832589 2.60296 44.840924 1 0
2.60296 44.840924 2.613313 44.85099 1 0
2.613313 44.85099 2.618756 44.852302 1 0
2.618756 44.852302 2.617478 44.856199 1 0
2.617478 44.856199 2.620651 44.85908 1 0
2.620651 44.85908 2.623712 44.86692 1 0
2.623712 44.86692 2.631672 44.873073 1 0
2.631672 44.873073 2.640545 44.871703 1 0
2.640545 44.871703 2.643296 44.870043 1 0
2.643296 44.870043 2.65428 44.869812 1 0
2.65428 44.869812 2.657389 44.874246 1 0
2.657389 44.874246 2.659185 44.879693 1 0
2.659185 44.879693 2.657922 44.88696 1 0
2.657922 44.88696 2.664788 44.889902 1 0
2.664788 44.889902 2.665924 44.892382 1 0
2.665924 44.892382 2.670556 44.895453 1 0
2.670556 44.895453 2.676271 44.904059 1 0
2.676271 44.904059 2.680004 44.904093 1 0
2.680004 44.904093 2.687183 44.906146 1 0
2.687183 44.906146 2.689366 44.902659 1 0
2.689366 44.902659 2.695513 44.904412 1 0
2.695513 44.904412 2.700385 44.904077 1 0
2.700385 44.904077 2.708273 44.908435 1 0
2.708273 44.908435 2.707345 44.910943 1 0
2.707345 44.910943 2.711125 44.919354 1 0
2.711125 44.919354 2.716927 44.929181 1 0
2.716927 44.929181 2.721025 44.925233 1 0
2.721025 44.925233 2.723951 44.924747 1 0
2.723951 44.924747 2.72658 44.92997 1 0
2.72658 44.92997 2.726463 44.933499 1 0
2.726463 44.933499 2.729047 44.937002 1 0
2.729047 44.937002 2.731629 44.936914 1 0
2.731629 44.936914 2.740487 44.94013 1 0
2.740487 44.94013 2.743266 44.936546 1 0
2.743266 44.936546 2.740858 44.93173 1 0
2.740858 44.93173 2.742384 44.928808 1 0
2.742384 44.928808 2.750407 44.933653 1 0
2.750407 44.933653 2.754315 44.933088 1 0
2.754315 44.933088 2.76023 44.929341 1 0
2.76023 44.929341 2.760689 44.926108 1 0
2.760689 44.926108 2.772919 44.916157 1 0
2.772919 44.916157 2.775947 44.909601 1 0
2.775947 44.909601 2.771798 44.901844 1 0
2.771798 44.901844 2.775821 44.890085 1 0
2.775821 44.890085 2.778477 44.887424 1 0
2.778477 44.887424 2.775157 44.884563 1 0
2.775157 44.884563 2.773582 44.879779 1 0
2.773582 44.879779 2.770905 44.880009 1 0
2.770905 44.880009 2.770593 44.870741 1 0
2.770593 44.870741 2.76849 44.869958 1 0
2.76849 44.869958 2.767492 44.865022 1 0
2.767492 44.865022 2.771399 44.8601 1 0
2.771399 44.8601 2.771563 44.856329 1 0
2.771563 44.856329 2.776994 44.858084 1 0
2.776994 44.858084 2.78104 44.857324 1 0
2.78104 44.857324 2.782909 44.862374 1 0
2.782909 44.862374 2.790805 44.867975 1 0
2.790805 44.867975 2.798733 44.869275 1 0
2.798733 44.869275 2.801076 44.872871 1 0
2.801076 44.872871 2.807535 44.874319 1 0
2.807535 44.874319 2.813022 44.869831 1 0
2.813022 44.869831 2.817042 44.869808 1 0
2.817042 44.869808 2.819749 44.871975 1 0
2.819749 44.871975 2.8266 44.87055 1 0
2.8266 44.87055 2.832363 44.872575 1 0
2.832363 44.872575 2.838184 44.871388 1 0
2.838184 44.871388 2.840619 44.8727 1 0
2.840619 44.8727 2.850548 44.87112 1 0
2.850548 44.87112 2.855298 44.875033 1 0
2.855298 44.875033 2.859484 44.87433 1 0
2.859484 44.87433 2.859104 44.870277 1 0
2.859104 44.870277 2.861699 44.867711 1 0
2.861699 44.867711 2.856012 44.865079 1 0
2.856012 44.865079 2.856835 44.862409 1 0
2.856835 44.862409 2.855091 44.856181 1 0
2.855091 44.856181 2.854746 44.850614 1 0
2.854746 44.850614 2.85981 44.850388 1 0
2.85981 44.850388 2.862105 44.8477 1 0
2.862105 44.8477 2.865702 44.846784 1 0
2.865702 44.846784 2.865368 44.843391 1 0
2.865368 44.843391 2.859598 44.842327 1 0
2.859598 44.842327 2.861631 44.835975 1 0
2.861631 44.835975 2.868439 44.833447 1 0
2.868439 44.833447 2.870381 44.829113 1 0
2.870381 44.829113 2.870374 44.825048 1 0
2.870374 44.825048 2.872166 44.818526 1 0
2.872166 44.818526 2.874764 44.816515 1 0
2.874764 44.816515 2.877138 44.811926 1 0
2.877138 44.811926 2.877315 44.8072 1 0
2.877315 44.8072 2.884084 44.795606 1 0
2.884084 44.795606 2.889469 44.790841 1 0
2.889469 44.790841 2.887743 44.789103 1 0
2.887743 44.789103 2.892589 44.786551 1 0
2.892589 44.786551 2.899883 44.784452 1 0
2.899883 44.784452 2.905191 44.783929 1 0
2.905191 44.783929 2.910557 44.788395 1 0
2.910557 44.788395 2.911391 44.790574 1 0
2.911391 44.790574 2.92039 44.794426 1 0
2.92039 44.794426 2.927387 44.78683 1 0
2.927387 44.78683 2.932185 44.783562 1 0
2.932185 44.783562 2.937853 44.774901 1 0
2.937853 44.774901 2.934392 44.770718 1 0
2.934392 44.770718 2.935628 44.767214 1 0
2.935628 44.767214 2.930828 44.761653 1 0
2.930828 44.761653 2.925074 44.763581 1 0
2.925074 44.763581 2.921874 44.765895 1 0
2.921874 44.765895 2.916517 44.767327 1 0
2.916517 44.767327 2.912857 44.764528 1 0
2.912857 44.764528 2.912001 44.760463 1 0
2.912001 44.760463 2.916306 44.756291 1 0
2.916306 44.756291 2.920085 44.754727 1 0
2.920085 44.754727 2.926803 44.757695 1 0
2.926803 44.757695 2.928601 44.754313 1 0
2.928601 44.754313 2.933781 44.749818 1 0
2.933781 44.749818 2.934927 44.744831 1 0
2.934927 44.744831 2.931674 44.73754 1 0
2.931674 44.73754 2.924245 44.729446 1 0
2.924245 44.729446 2.925636 44.726843 1 0
2.925636 44.726843 2.92945 44.71456 1 0
2.92945 44.71456 2.934182 44.707163 1 0
2.934182 44.707163 2.934785 44.704014 1 0
2.934785 44.704014 2.933902 44.697074 1 0
2.933902 44.697074 2.937639 44.693668 1 0
2.937639 44.693668 2.941249 44.686771 1 0
