Numero du dept : 19
1 Angoulême-1 18855 Polygon
2 Angoulême-2 19158 Polygon
3 Angoulême-3 22451 Polygon
4 Boëme-Echelle 17899 Polygon
5 Boixe-et-Manslois 17536 Polygon
6 Charente-Bonnieure 17321 Polygon
7 Charente-Champagne 17191 Polygon
8 Charente-Nord 18924 Polygon
9 Charente-Sud 20115 Polygon
10 Charente-Vienne 19028 Polygon
11 Cognac-1 16797 Polygon
12 Cognac-2 17541 Polygon
13 La Couronne 15597 Polygon
14 Gond-Pontouvre 19513 Polygon
15 Jarnac 15971 Polygon
16 Touvre-et-Braconne 18900 Polygon
17 Tude-et-Lavalette 18182 Polygon
18 Val de Nouère 20850 Polygon
19 Val de Tardoire 21828 Polygon

0.093862 45.702222 0.095939 45.69446 1 14
0.095939 45.69446 0.093989 45.691295 1 14
0.093989 45.691295 0.095549 45.686624 1 14
0.095549 45.686624 0.1021 45.686008 1 14
0.1021 45.686008 0.107424 45.683037 1 14
0.107424 45.683037 0.11139 45.678151 1 14
0.11139 45.678151 0.112201 45.669315 1 14
0.112201 45.669315 0.124477 45.662217 1 14
0.124477 45.662217 0.136535 45.658607 1 14
0.136535 45.658607 0.148238 45.654871 1 2
0.148238 45.654871 0.149816 45.652731 1 2
0.149816 45.652731 0.160507 45.65004 1 2
0.160507 45.65004 0.159424 45.645253 1 3
0.159424 45.645253 0.155878 45.641655 1 3
0.155878 45.641655 0.149135 45.64232 1 3
0.149135 45.64232 0.145547 45.638599 1 3
0.145547 45.638599 0.132731 45.629798 1 3
0.132731 45.629798 0.128903 45.633759 1 13
0.128903 45.633759 0.11912 45.639873 1 13
0.11912 45.639873 0.110295 45.643323 1 13
0.110295 45.643323 0.112608 45.650908 1 13
0.112608 45.650908 0.106018 45.650705 1 13
0.106018 45.650705 0.100931 45.64476 1 13
0.100931 45.64476 0.09306 45.644494 1 13
0.09306 45.644494 0.090386 45.649862 1 18
0.090386 45.649862 0.093104 45.651078 1 18
0.093104 45.651078 0.091765 45.655684 1 18
0.091765 45.655684 0.088129 45.660131 1 18
0.088129 45.660131 0.08439 45.659163 1 18
0.08439 45.659163 0.078144 45.660199 1 18
0.078144 45.660199 0.079974 45.664373 1 18
0.079974 45.664373 0.075783 45.66555 1 18
0.075783 45.66555 0.067973 45.672661 1 18
0.067973 45.672661 0.062189 45.670747 1 18
0.062189 45.670747 0.058516 45.675313 1 18
0.058516 45.675313 0.068917 45.681651 1 18
0.068917 45.681651 0.076052 45.68709 1 18
0.076052 45.68709 0.078458 45.700498 1 18
0.078458 45.700498 0.085124 45.706787 1 18
0.085124 45.706787 0.093862 45.702222 1 18
0.093862 45.702222 0.093862 45.702222 1 14
0.193239 45.674186 0.200155 45.674898 2 16
0.200155 45.674898 0.200809 45.673032 2 16
0.200809 45.673032 0.208947 45.67327 2 16
0.208947 45.67327 0.221164 45.670764 2 16
0.221164 45.670764 0.221852 45.669908 2 16
0.221852 45.669908 0.219042 45.661628 2 16
0.219042 45.661628 0.216369 45.657401 2 16
0.216369 45.657401 0.205665 45.657431 2 3
0.205665 45.657431 0.204228 45.654057 2 3
0.204228 45.654057 0.198663 45.651318 2 3
0.198663 45.651318 0.190198 45.64977 2 3
0.190198 45.64977 0.188045 45.651387 2 3
0.188045 45.651387 0.181173 45.64998 2 3
0.181173 45.64998 0.181644 45.646298 2 3
0.181644 45.646298 0.177603 45.644585 2 3
0.177603 45.644585 0.172803 45.646172 2 3
0.172803 45.646172 0.173112 45.649865 2 3
0.173112 45.649865 0.170522 45.651119 2 3
0.170522 45.651119 0.163132 45.651751 2 3
0.163132 45.651751 0.160507 45.65004 2 3
0.160507 45.65004 0.149816 45.652731 2 1
0.149816 45.652731 0.148238 45.654871 2 1
0.148238 45.654871 0.136535 45.658607 2 1
0.136535 45.658607 0.141643 45.664017 2 14
0.141643 45.664017 0.144637 45.66561 2 14
0.144637 45.66561 0.163405 45.660346 2 14
0.163405 45.660346 0.172022 45.659388 2 14
0.172022 45.659388 0.176263 45.66461 2 14
0.176263 45.66461 0.181311 45.667785 2 14
0.181311 45.667785 0.184065 45.671204 2 14
0.184065 45.671204 0.193239 45.674186 2 14
0.193239 45.674186 0.193239 45.674186 2 0
0.132731 45.629798 0.145547 45.638599 3 1
0.145547 45.638599 0.149135 45.64232 3 1
0.149135 45.64232 0.155878 45.641655 3 1
0.155878 45.641655 0.159424 45.645253 3 1
0.159424 45.645253 0.160507 45.65004 3 1
0.160507 45.65004 0.163132 45.651751 3 2
0.163132 45.651751 0.170522 45.651119 3 2
0.170522 45.651119 0.173112 45.649865 3 2
0.173112 45.649865 0.172803 45.646172 3 2
0.172803 45.646172 0.177603 45.644585 3 2
0.177603 45.644585 0.181644 45.646298 3 2
0.181644 45.646298 0.181173 45.64998 3 2
0.181173 45.64998 0.188045 45.651387 3 2
0.188045 45.651387 0.190198 45.64977 3 2
0.190198 45.64977 0.198663 45.651318 3 2
0.198663 45.651318 0.204228 45.654057 3 2
0.204228 45.654057 0.205665 45.657431 3 2
0.205665 45.657431 0.216369 45.657401 3 2
0.216369 45.657401 0.222525 45.653572 3 16
0.222525 45.653572 0.228751 45.6518 3 16
0.228751 45.6518 0.235964 45.647921 3 16
0.235964 45.647921 0.234561 45.642706 3 16
0.234561 45.642706 0.232322 45.64087 3 16
0.232322 45.64087 0.229889 45.634712 3 16
0.229889 45.634712 0.230626 45.633271 3 4
0.230626 45.633271 0.22686 45.627923 3 4
0.22686 45.627923 0.222458 45.628145 3 4
0.222458 45.628145 0.220705 45.622069 3 4
0.220705 45.622069 0.216047 45.619926 3 4
0.216047 45.619926 0.203971 45.621917 3 4
0.203971 45.621917 0.189976 45.628233 3 4
0.189976 45.628233 0.18547 45.627573 3 4
0.18547 45.627573 0.180045 45.629025 3 13
0.180045 45.629025 0.178244 45.625283 3 13
0.178244 45.625283 0.174213 45.627811 3 13
0.174213 45.627811 0.168167 45.627675 3 13
0.168167 45.627675 0.164556 45.630235 3 13
0.164556 45.630235 0.15742 45.629446 3 13
0.15742 45.629446 0.153611 45.627862 3 13
0.153611 45.627862 0.153376 45.625012 3 13
0.153376 45.625012 0.147187 45.622381 3 13
0.147187 45.622381 0.14557 45.620049 3 13
0.14557 45.620049 0.140724 45.622121 3 13
0.140724 45.622121 0.141627 45.624106 3 13
0.141627 45.624106 0.13835 45.627317 3 13
0.13835 45.627317 0.132731 45.629798 3 13
0.132731 45.629798 0.132731 45.629798 3 0
-0.00138 45.603744 0.008631 45.602676 4 18
0.008631 45.602676 0.023705 45.603891 4 18
0.023705 45.603891 0.024937 45.605417 4 18
0.024937 45.605417 0.032115 45.606065 4 18
0.032115 45.606065 0.037353 45.610349 4 18
0.037353 45.610349 0.040361 45.610704 4 13
0.040361 45.610704 0.056831 45.604093 4 13
0.056831 45.604093 0.060093 45.601994 4 13
0.060093 45.601994 0.063169 45.60619 4 13
0.063169 45.60619 0.063125 45.609859 4 13
0.063125 45.609859 0.069273 45.611522 4 13
0.069273 45.611522 0.07993 45.609281 4 13
