Numero du dept : 29
1 Bièvre 43024 Polygon
2 Bourgoin-Jallieu 50320 Polygon
3 Chartreuse-Guiers 35299 Polygon
4 Charvieu-Chavagneux 50085 Polygon
5 Echirolles 46456 Polygon
6 Fontaine-Seyssinet 37386 Polygon
7 Fontaine-Vercors 38210 Polygon
8 Le Grand-Lemps 34596 Polygon
9 Grenoble-1 46843 Polygon
10 Grenoble-2 44021 Polygon
11 Grenoble-3 46817 Polygon
12 Grenoble-4 46807 Polygon
13 Le Haut-Grésivaudan 42030 Polygon
14 L'Isle-d'Abeau 49566 Polygon
15 Matheysine-Trièves 29277 Polygon
16 Meylan 43912 Polygon
17 Morestel 36615 Polygon
18 Le Moyen Grésivaudan 43923 Polygon
19 Oisans-Romanche 33065 Polygon
20 Le Pont-de-Claix 44436 Polygon
21 Roussillon 45475 Polygon
22 Saint-Martin-d'Hères 47142 Polygon
23 Le Sud Grésivaudan 40823 Polygon
24 La Tour-du-Pin 34770 Polygon
25 Tullins 37968 Polygon
26 La Verpillière 43419 Polygon
27 Vienne-1 39712 Polygon
28 Vienne-2 47469 Polygon
29 Voiron 45527 Polygon

5.038402 45.490423 5.050497 45.492234 1 27
5.050497 45.492234 5.053045 45.495679 1 27
5.053045 45.495679 5.048141 45.502912 1 27
5.048141 45.502912 5.043276 45.505722 1 27
5.043276 45.505722 5.045404 45.509822 1 27
5.045404 45.509822 5.045687 45.517214 1 27
5.045687 45.517214 5.053505 45.517189 1 27
5.053505 45.517189 5.053047 45.520711 1 27
5.053047 45.520711 5.045868 45.525774 1 27
5.045868 45.525774 5.054887 45.528107 1 26
5.054887 45.528107 5.057946 45.527969 1 26
5.057946 45.527969 5.066756 45.532577 1 26
5.066756 45.532577 5.06796 45.5351 1 26
5.06796 45.5351 5.076798 45.54008 1 26
5.076798 45.54008 5.084437 45.541472 1 26
5.084437 45.541472 5.091191 45.538357 1 26
5.091191 45.538357 5.090075 45.536158 1 26
5.090075 45.536158 5.094297 45.53378 1 26
5.094297 45.53378 5.096813 45.52792 1 26
5.096813 45.52792 5.102005 45.525965 1 26
5.102005 45.525965 5.103539 45.523279 1 26
5.103539 45.523279 5.112831 45.521721 1 26
5.112831 45.521721 5.115662 45.517891 1 26
5.115662 45.517891 5.116344 45.515085 1 14
5.116344 45.515085 5.113137 45.511814 1 14
5.113137 45.511814 5.111727 45.507507 1 14
5.111727 45.507507 5.111214 45.498926 1 14
5.111214 45.498926 5.115705 45.497925 1 14
5.115705 45.497925 5.109147 45.493985 1 14
5.109147 45.493985 5.109962 45.489988 1 14
5.109962 45.489988 5.114027 45.490001 1 14
5.114027 45.490001 5.122376 45.49308 1 14
5.122376 45.49308 5.127544 45.492857 1 14
5.127544 45.492857 5.130939 45.483002 1 14
5.130939 45.483002 5.118774 45.477498 1 14
5.118774 45.477498 5.12083 45.472927 1 14
5.12083 45.472927 5.129949 45.474199 1 14
5.129949 45.474199 5.134267 45.473141 1 14
5.134267 45.473141 5.141202 45.473883 1 14
5.141202 45.473883 5.144879 45.469245 1 14
5.144879 45.469245 5.153863 45.468563 1 14
5.153863 45.468563 5.157376 45.46343 1 14
5.157376 45.46343 5.161208 45.462933 1 14
5.161208 45.462933 5.168949 45.470592 1 14
5.168949 45.470592 5.170696 45.477947 1 14
5.170696 45.477947 5.179301 45.484438 1 14
5.179301 45.484438 5.178588 45.487344 1 14
5.178588 45.487344 5.178787 45.497255 1 14
5.178787 45.497255 5.17797 45.49956 1 14
5.17797 45.49956 5.181813 45.501483 1 14
5.181813 45.501483 5.186477 45.501903 1 14
5.186477 45.501903 5.189623 45.50467 1 14
5.189623 45.50467 5.194294 45.506065 1 14
5.194294 45.506065 5.197729 45.504768 1 14
5.197729 45.504768 5.202868 45.505388 1 14
5.202868 45.505388 5.212229 45.508353 1 14
5.212229 45.508353 5.224386 45.509168 1 14
5.224386 45.509168 5.226419 45.510447 1 14
5.226419 45.510447 5.237659 45.509227 1 14
5.237659 45.509227 5.239869 45.50736 1 14
5.239869 45.50736 5.24779 45.506314 1 14
5.24779 45.506314 5.250406 45.503374 1 14
5.250406 45.503374 5.256609 45.503655 1 14
5.256609 45.503655 5.264303 45.500993 1 14
5.264303 45.500993 5.265092 45.497555 1 2
5.265092 45.497555 5.271003 45.493457 1 2
5.271003 45.493457 5.272391 45.489819 1 2
5.272391 45.489819 5.276819 45.490641 1 2
5.276819 45.490641 5.278292 45.485727 1 2
5.278292 45.485727 5.286618 45.484456 1 2
5.286618 45.484456 5.291731 45.481634 1 2
5.291731 45.481634 5.298836 45.479868 1 2
5.298836 45.479868 5.303964 45.464064 1 8
5.303964 45.464064 5.31225 45.460145 1 8
5.31225 45.460145 5.317523 45.456336 1 8
5.317523 45.456336 5.317385 45.453156 1 8
5.317385 45.453156 5.314273 45.451916 1 8
5.314273 45.451916 5.315445 45.447603 1 8
5.315445 45.447603 5.319008 45.44575 1 8
5.319008 45.44575 5.317315 45.442544 1 8
5.317315 45.442544 5.318773 45.436548 1 8
5.318773 45.436548 5.314959 45.435362 1 8
5.314959 45.435362 5.319298 45.431822 1 8
5.319298 45.431822 5.322252 45.434204 1 8
5.322252 45.434204 5.327407 45.434761 1 8
5.327407 45.434761 5.331437 45.431312 1 8
5.331437 45.431312 5.342424 45.43123 1 8
5.342424 45.43123 5.342815 45.427292 1 8
5.342815 45.427292 5.331394 45.42121 1 8
5.331394 45.42121 5.334867 45.415343 1 8
